account,entry_collect,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
umacrcatpairstrading,,0.0,-200.00038,12.10000038,1000.0,1.0,2025-02-10 15:59:00.000,,3.7,11.9,-1000.0,-1.0,2025-02-13 15:59:00.006,1000.0,-270.0,UMAC
umacrcatpairstrading,,0.0,1819.58968053,10.73999977,-1389.0,-1.0,2025-02-10 15:59:00.000,,5.1393,9.43,1389.0,1.0,2025-02-13 15:59:00.006,-1389.0,-180.57,RCAT
umacrcatpairstrading,,0.0,15989.99999,2.74000001,1000.0,1.0,2024-11-18 15:59:00.000,,3.7,18.73,-1000.0,-1.0,2024-11-29 12:59:00.006,1000.0,8840.0,UMAC
umacrcatpairstrading,,0.0,-9570.2098611,4.9000001,-1389.0,-1.0,2024-11-18 15:59:00.000,,5.1393,11.79,1389.0,1.0,2024-11-29 12:59:00.006,-1389.0,-3500.28,RCAT
umacrcatpairstrading,,0.0,169.99998,1.60000002,1000.0,1.0,2024-08-13 15:59:00.000,,3.7,1.77,-1000.0,-1.0,2024-09-05 15:59:00.006,1000.0,-20.0,UMAC
umacrcatpairstrading,,0.0,-41.66998611,2.74000001,-1389.0,-1.0,2024-08-13 15:59:00.000,,5.1393,2.77,1389.0,1.0,2024-09-05 15:59:00.006,-1389.0,-55.56,RCAT
umacrcatpairstrading,,0.0,-170.0,1.5,-1000.0,-1.0,2024-10-28 15:59:00.000,,3.7,1.67,1000.0,1.0,2024-10-30 15:59:00.006,-1000.0,-190.0,UMAC
umacrcatpairstrading,,0.0,180.57008334,3.05999994,1389.0,1.0,2024-10-28 15:59:00.000,,5.1393,3.19,-1389.0,-1.0,2024-10-30 15:59:00.006,1389.0,-125.01,RCAT
umacrcatpairstrading,,0.0,949.99994,6.05999994,-1000.0,-1.0,2025-04-25 15:59:00.000,,3.7,5.11,1000.0,1.0,2025-05-06 15:59:00.006,-1000.0,-90.0,UMAC
umacrcatpairstrading,,0.0,138.89994444,5.21000004,1389.0,1.0,2025-04-25 15:59:00.000,,5.1393,5.31,-1389.0,-1.0,2025-05-06 15:59:00.006,1389.0,-319.47,RCAT
umacrcatpairstrading,,0.0,-60.00001,1.88999999,-1000.0,-1.0,2024-08-07 15:59:00.000,,3.7,1.95,1000.0,1.0,2024-08-12 15:59:00.006,-1000.0,50.0,UMAC
umacrcatpairstrading,,0.0,986.18991666,1.94000006,1389.0,1.0,2024-08-07 15:59:00.000,,5.1393,2.65,-1389.0,-1.0,2024-08-12 15:59:00.006,1389.0,236.13,RCAT
